;user;user_link
1.0;varsitychick7;https://myanimelist.net/profile/varsitychick7
3.0;arctyswrites;https://myanimelist.net/profile/arctyswrites
6.0;Darkwvrm;https://myanimelist.net/profile/Darkwvrm
10.0;Marloges;https://myanimelist.net/profile/Marloges
11.0;AngryLlamaBaby;https://myanimelist.net/profile/AngryLlamaBaby
12.0;dakka12313;https://myanimelist.net/profile/dakka12313
15.0;Excalibur2512;https://myanimelist.net/profile/Excalibur2512
16.0;RauMac29;https://myanimelist.net/profile/RauMac29
18.0;mtempleton;https://myanimelist.net/profile/mtempleton
19.0;BlinkThenRun88;https://myanimelist.net/profile/BlinkThenRun88
22.0;YuriWeeb;https://myanimelist.net/profile/YuriWeeb
32.0;LapsyBae;https://myanimelist.net/profile/LapsyBae
40.0;mybromitzvah;https://myanimelist.net/profile/mybromitzvah
41.0;Tonust;https://myanimelist.net/profile/Tonust
49.0;66ix;https://myanimelist.net/profile/66ix
0.0;Armou;https://myanimelist.net/profile/Armou
3.0;ATCkit;https://myanimelist.net/profile/ATCkit
7.0;Reviews-rants;https://myanimelist.net/profile/Reviews-rants
17.0;BasicallyAnybody;https://myanimelist.net/profile/BasicallyAnybody
24.0;Masnry;https://myanimelist.net/profile/Masnry
25.0;Kagejin89;https://myanimelist.net/profile/Kagejin89
36.0;Hero_Cerebrum;https://myanimelist.net/profile/Hero_Cerebrum
42.0;Rarerarefan1;https://myanimelist.net/profile/Rarerarefan1
43.0;3battle;https://myanimelist.net/profile/3battle
44.0;ssaz_5;https://myanimelist.net/profile/ssaz_5
47.0;PakistaniPepper;https://myanimelist.net/profile/PakistaniPepper
48.0;samuey;https://myanimelist.net/profile/samuey
49.0;Daniel7689;https://myanimelist.net/profile/Daniel7689
2.0;Wr3tched_egg;https://myanimelist.net/profile/Wr3tched_egg
4.0;nadaci901;https://myanimelist.net/profile/nadaci901
7.0;Succify;https://myanimelist.net/profile/Succify
9.0;MariJoana96;https://myanimelist.net/profile/MariJoana96
10.0;connorjg1;https://myanimelist.net/profile/connorjg1
16.0;thewhat;https://myanimelist.net/profile/thewhat
19.0;Goldwalker;https://myanimelist.net/profile/Goldwalker
22.0;DJLink654;https://myanimelist.net/profile/DJLink654
27.0;SDCoffee;https://myanimelist.net/profile/SDCoffee
33.0;AbigIdiot;https://myanimelist.net/profile/AbigIdiot
34.0;photolol;https://myanimelist.net/profile/photolol
36.0;DiscoingGD;https://myanimelist.net/profile/DiscoingGD
40.0;hyena_helena;https://myanimelist.net/profile/hyena_helena
42.0;RayAkuma;https://myanimelist.net/profile/RayAkuma
43.0;RevyXV;https://myanimelist.net/profile/RevyXV
47.0;Cowboy6669;https://myanimelist.net/profile/Cowboy6669
49.0;MilkyJay;https://myanimelist.net/profile/MilkyJay
9.0;InsertUserHere;https://myanimelist.net/profile/InsertUserHere
11.0;Snipsworth;https://myanimelist.net/profile/Snipsworth
12.0;Rafort;https://myanimelist.net/profile/Rafort
13.0;totallynotdom;https://myanimelist.net/profile/totallynotdom
20.0;Jferwc;https://myanimelist.net/profile/Jferwc
23.0;mightbekai;https://myanimelist.net/profile/mightbekai
26.0;LeloTheUnamused;https://myanimelist.net/profile/LeloTheUnamused
28.0;Magiruu;https://myanimelist.net/profile/Magiruu
31.0;alreadydead445;https://myanimelist.net/profile/alreadydead445
33.0;JotaJotaPRA;https://myanimelist.net/profile/JotaJotaPRA
