;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
0;Chuumon no Ooi Ryouriten;https://myanimelist.net/anime/7621/Chuumon_no_Ooi_Ryouriten;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;The Restaurant of Many Orders, A Well-Ordered Restaurant;注文の多い料理店;Movie;1;Finished Airing;Nov 1958;['Gakken'];None found, add some;None found, add some;Book;['Fantasy', 'Horror', 'Supernatural'];18 min.;G - All Ages;5.46;#11785;#11902;1,163;0;;;[];The oldest anime adaption of the famous short story, Chuumon no Ooi Ryouriten, originally written by Kenji Miyazawa. This stop-motion anime follows two British hunters as they venture deep into the thick woodlands and find themselves lost. It's not long till they stumble across a strangely located restaurant. They Decide it's best to take a break inside, though they quickly find that things in this restaurant may not be what they seem.;;;;;
1;My Little Goat;https://myanimelist.net/anime/42899/My_Little_Goat;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;マイリトルゴート;Movie;1;Finished Airing;2018;['Geidai Animation'];None found, add some;None found, add some;Original;['Drama', 'Horror'];10 min.;PG-13 - Teens 13 or older;7.07;#3731;#11945;1,150;2;;;[];A mother goat rescues her kids from the belly of a wolf, but her eldest son Toruku is missing. One day Toruku shows up home and has to confront his own fears as well as the disfigured bodies of his brothers and sisters. As the wolf once again approaches, secrets of Toruku's absence come to light as the flock fights for survival.  (Source: asianmoviepulse);;;;;
2;Gift±;https://myanimelist.net/anime/38348/Gift%C2%B1;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gift Plus Minus;ギフト±;ONA;20;Finished Airing;Sep 21, 2018 to Sep 28, 2018;['Production I.G', 'Anime Beans'];None found, add some;None found, add some;Manga;;1 min. per ep.;PG-13 - Teens 13 or older;N/A;#19276;#11955;1,143;1;;Seinen;[];"With the growing demand for high-quality organ transplants in Japan, many underground organizations have carried out kidnapping and murder operations to obtain organs for sale; surgeon doctors also started practicing. It even began to intervene in outside countries like China.  Our protagonist, Tamaki Suzuhara, a beautiful but mysterious high school girl, tries to find someone very important to her who is currently missing. She joined an illegal organ trafficking network, which kidnapped those who were judged ""morally cure"" for morphological, surgical removal of organs.  Let's see where this bloody journey and Tamaki Suzuhara's moral dilemma will lead. Can she find what she wants?";Horror;;;;
3;Guilstein;https://myanimelist.net/anime/11995/Guilstein;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ギルスティン;Movie;1;Finished Airing;Jun 15, 2002;['None found', 'add some'];None found, add some;ACC Production;Original;['Action', 'Horror', 'Sci-Fi'];1 hr. 30 min.;R - 17+ (violence & profanity);5.30;#12340;#12001;1,125;1;;;[];"The theatrical anime film is a full digital (3-D) action/horror film based on a manga by Tamaki Hisao, best known to Western fans for his manga adaptation of Star Wars: A New Hope. Characters were designed by Yasushi Nirasawa, a well acclaimed maker of creature action figures. Monkey Punch (Lupin III creator) served as the film's script superviser. Set in the year 2088, it depicts a dark future in which humans have been transformed into the ""Guilstein,"" creatures with no human souls in them...  (Source: AniDB)";;Gore;;;
4;Jigokudou Reikai Tsuushin;https://myanimelist.net/anime/9824/Jigokudou_Reikai_Tsuushin;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Hell Hall-Spirit World Communication;地獄堂霊界通信;OVA;1;Finished Airing;Aug 9, 1996;['Toei Video', 'Tohokushinsha Film Corporation'];None found, add some;None found, add some;Novel;['Fantasy', 'Horror'];45 min.;PG-13 - Teens 13 or older;6.10;#8951;#12034;1,111;2;;;[];"Tetsushi, Ryouchin and Shiina are a youthful trio not to be trifled with; they have a fearsome reputation. One day they decide to enter Jingkudou, a store which is rumored to be the gateway to Hell, the storekeeper sure is creepy enough. He tells them a story and after that they decide, with a magical token provided by the storekeeper, to try and find the restless spirit of a murder victim in order to give her release. This is only the start of their supernatural career...  (Source: BakaBT)";;;;;
5;Alice in Voodooland;https://myanimelist.net/anime/38906/Alice_in_Voodooland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Alice in Voodooland;Music;1;Finished Airing;Oct 5, 2016;['None found', 'add some'];None found, add some;None found, add some;Other;['Avant Garde', 'Fantasy', 'Horror'];2 min.;R - 17+ (violence & profanity);5.55;#11448;#12080;1,094;1;;;[];Music video by Kousuke Sugimoto for the title track Alice In Voodooland by RoughSketch and featuring Aikapin.;;Music;;;
6;Jiok;https://myanimelist.net/anime/33144/Jiok;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Dugaeui sam;지옥 두개 의 삶;Movie;1;Finished Airing;Jul 2006;['Studio Dadashow'];None found, add some;None found, add some;Unknown;['Drama', 'Fantasy', 'Horror'];34 min.;R+ - Mild Nudity;5.77;#10564;#12102;1,089;1;;;[];Jae-young, an ordinary woman in her mid-20s is sentenced to death by an angel, and ascends to Heaven. Going to Heaven means nothing to her because she assumes Heaven is devoid of reason and humanity. But she accepts her fate and proceeds to bid farewell to her mother and friend. During her farewells, the desire for life starts to torture her.  (Source: KoBiz);;;;;
7;Zonmi-chan: Halloween☆Special Movie!;https://myanimelist.net/anime/33042/Zonmi-chan__Halloween%E2%98%86Special_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;【ゾンミちゃん】ハロウィン☆スペシャルムービー！;ONA;1;Finished Airing;Oct 26, 2015;['None found', 'add some'];None found, add some;Neft Film;Original;['Comedy', 'Horror'];52 sec.;PG-13 - Teens 13 or older;4.47;#13553;#12105;1,088;0;;;[];A Halloween special starring Zonmi-chan. A soldier is being chased by several Zonmi-chan zombies. He shoots at them but is ultimately caught.;;;;;
8;Gegege no Kitarou (1985 Movie);https://myanimelist.net/anime/8152/Gegege_no_Kitarou_1985_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gegege no Kitaro Movie 3: Youkai Gundan;ゲゲゲの鬼太郎;Movie;1;Finished Airing;Dec 21, 1985;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];24 min.;G - All Ages;5.91;#9931;#12107;1,087;0;;;[];Movie based on the 1985 TV anime with an original plot.;;;;;
9;Gegege no Kitarou: Jigoku-hen;https://myanimelist.net/anime/8158/Gegege_no_Kitarou__Jigoku-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gegege no Kitarou: Jigokuhen, Gegege no Kitarou: Jigoku Hen;ゲゲゲの鬼太郎　地獄編;TV;7;Finished Airing;Feb 8, 1988 to Mar 21, 1988;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];25 min. per ep.;G - All Ages;6.11;#8888;#12171;1,067;0;;;[];The origins of Kitarou.;;;Winter 1988;Unknown;
10;Chainsaw Bunny: Deleted Scene;https://myanimelist.net/anime/37256/Chainsaw_Bunny__Deleted_Scene;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Chainsaw Bunny Special;CHAINSAW BUNNY Deleted Scene;ONA;1;Finished Airing;Aug 1, 2018;['None found', 'add some'];None found, add some;None found, add some;Original;['Horror', 'Supernatural', 'Suspense'];58 sec.;R - 17+ (violence & profanity);4.22;#13649;#12187;1,060;1;;;[];"A ""deleted scene"" from Chainsaw Bunny, where the monster becomes a giant pink faceless looming creature.";;;;;
11;Gegege no Kitarou: Chisougan;https://myanimelist.net/anime/8150/Gegege_no_Kitarou__Chisougan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;GeGeGe no Kitaro movie #2: The Geomancer's Eye;ゲゲゲの鬼太郎 地相眼;Movie;1;Finished Airing;Jul 12, 1980;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];12 min.;G - All Ages;5.77;#10554;#12356;997;0;;;[];An abbreviated 12 minute version of episode 37 from the 1971 TV anime. This was shown as part of the summer 1980 Toei Manga Matsuri and uses entirely recycled footage.  (Source: TSHS);;;;;
12;Ling Long: Incarnation Special;https://myanimelist.net/anime/48890/Ling_Long__Incarnation_Special;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ling Long: Tebie Pian, Spirit Cage: Incarnation Special;灵笼:INCARNATION 特别篇;ONA;1;Finished Airing;May 15, 2021;['None found', 'add some'];None found, add some;YHKT Entertainment;Original;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Suspense'];42 min.;R - 17+ (violence & profanity);7.16;#3291;#12403;983;6;;;[];Special chapter of Ling Long: Incarnation.;;;;;
13;Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!;https://myanimelist.net/anime/9345/Gakkou_no_Kowai_Uwasa_Shin__Hanako-san_ga_Kita;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;学校のｺﾜｲうわさ 新・花子さんがきた!!;TV;33;Finished Airing;Aug 13, 2010 to Mar 25, 2011;['None found', 'add some'];None found, add some;None found, add some;Unknown;['Comedy', 'Horror', 'Supernatural'];4 min. per ep.;None;N/A;#19175;#12475;962;4;;;[];"The story of the anime revolves around Hanako, a girl who lives in a supernatural world apart from our own. Hanako appears when schoolchildren are in trouble; she is a benevolent version of an enduring Japanese urban legend about Hanako, a ghost who lives in a toilet at the local school.  (Source: ANN)";;School;Summer 2010;Unknown;
14;Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha;https://myanimelist.net/anime/8157/Gegege_no_Kitarou__Youkai_Tokkyuu_Maboroshi_no_Kisha;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gegege no Kitarou: Yokai Express! The Phantom Train, GeGeGe no Kitaro movie #9: Yokai Express! The Phantom Train;ゲゲゲの鬼太郎 妖怪特急！まぼろしの汽車;Movie;1;Finished Airing;Jul 12, 1997;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];23 min.;G - All Ages;6.03;#9313;#12476;963;0;;;[];This film is sort of a mashup of Ghost Train (episode 7) and Great Yokai War (episodes 10-11) from the original 1968 TV series, but with a new spin on it to bring it towards the modernness of the 1996 TV series--essentially making an entirely original plot.  (Source: TSHS);;;;;
15;Higanjima X;https://myanimelist.net/anime/34222/Higanjima_X;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;彼岸島X;ONA;12;Finished Airing;Oct 15, 2016 to Mar 25, 2017;['None found', 'add some'];None found, add some;None found, add some;Manga;['Fantasy', 'Horror'];3 min. per ep.;R - 17+ (violence & profanity);5.56;#11445;#12545;941;1;['Gore', 'Survival', 'Vampire'];Seinen;['Funimation'];Akira is in the midst of the final battle between the human race and vampires. He only has 47 days until Japan is turned into an island of vampires.  (Source: ANN);;;;;
16;Youkaiden Nekome Kozou;https://myanimelist.net/anime/23351/Youkaiden_Nekome_Kozou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;妖怪伝 猫目小僧;TV;25;Finished Airing;Apr 1, 1976 to Sep 30, 1976;['Wako Productions'];None found, add some;None found, add some;Manga;['Adventure', 'Horror', 'Supernatural'];25 min. per ep.;G - All Ages;5.83;#10264;#12603;928;0;;Seinen;[];The story is told by the cat-eyed boy, hated by humans and demons, who engages in tales of terror, including monsters and children.;;Psychological;Spring 1976;Unknown;
17;Timing;https://myanimelist.net/anime/9662/Timing;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;TIMING;ONA;1;Finished Airing;Oct 2010;['Studio Kuma'];None found, add some;None found, add some;Other;;6 min.;R - 17+ (violence & profanity);5.20;#12588;#12622;920;0;;;[];The Japanese-Korean horror movie should have been released in 2012, but the project got canceled after Korean investors could not be determined. A six-minute promotional video is what's left of it of this attempted co-production.  Timing holds the story of four characters with abilities related with time, fighting to stop the tragedies occurring in a high school.  (Source: Hancinema);Horror;Psychological;;;
18;Gegege no Kitarou: Youkai Daisensou;https://myanimelist.net/anime/8153/Gegege_no_Kitarou__Youkai_Daisensou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gegege no Kitarou: Youkai Taisen Arasou,;ゲゲゲの鬼太郎 妖怪大戦争;Movie;1;Finished Airing;Mar 15, 1986;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];40 min.;G - All Ages;5.99;#9537;#12659;908;1;;;[];Movie based on the 1985 TV anime with an original plot.;;;;;
19;Sougiya to Inu;https://myanimelist.net/anime/28953/Sougiya_to_Inu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;葬儀屋と犬;Movie;1;Finished Airing;2010;['None found', 'add some'];None found, add some;None found, add some;Unknown;['Avant Garde', 'Horror'];4 min.;G - All Ages;4.99;#13030;#12737;884;0;;;[];A horror take on the classic tale of Snow White.;;;;;
20;Girl X;https://myanimelist.net/anime/41851/Girl_X;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Girl X;ONA;5;Finished Airing;Jul 26, 2019 to Dec 2, 2021;['None found', 'add some'];None found, add some;None found, add some;Original;['Comedy', 'Horror'];1 min. per ep.;PG-13 - Teens 13 or older;5.27;#12407;#12751;879;0;;;[];A woman is relaxing at home, where she is joined by a peculiar blue creature. Initially terrified, she quickly grows fond of it, and the two form a bond. However, it would be wise of her not to let her guard down just yet.  [Written by MAL Rewrite];;;;;
21;Akuma-kun (Movie);https://myanimelist.net/anime/8226/Akuma-kun_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Devil Boy, Akuma-kun (1989);悪魔くん;Movie;1;Finished Airing;Jul 15, 1989;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Fantasy', 'Horror', 'Supernatural'];40 min.;G - All Ages;6.01;#9433;#12760;876;1;;;[];The age of the demons has begun. Dr Faust has foreseen this rise of evil. Unfortunately, he is near death and is unable to personally battle this upcoming threat. Faust entrusts a young boy, Shingo Yamada, to take the responsibility of ridding the Earth of this new evil presence. Faust finds a birthmark on Shingo's forehead that signifies that he is the chosen demon fighter. Faust summons from hell what may be humanity's only hope of surviving: a less than enthusiastic devil named Mephisto rises. After signing a pact in blood to save humankind, Shingo and Mephisto set out to battle the supernatural world.  (Source: AniDB);;;;;
22;Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!;https://myanimelist.net/anime/8154/Gegege_no_Kitarou__Saikyou_Youkai_Gundan_Nippon_Jouriku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ゲゲゲの鬼太郎 最強妖怪軍団！日本陸!!;Movie;1;Finished Airing;Jul 12, 1986;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];49 min.;G - All Ages;6.19;#8440;#12868;850;0;;;[];Movie based on the 1985 TV anime with an original plot.;;;;;
23;Kyoufu Shinbun;https://myanimelist.net/anime/17615/Kyoufu_Shinbun;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Kyofu Shinbun;恐怖新聞;OVA;2;Finished Airing;Jul 21, 1991 to Sep 21, 1991;['Geneon Universal Entertainment', 'Pony Canyon'];None found, add some;Pierrot;Manga;;29 min. per ep.;PG-13 - Teens 13 or older;5.83;#10270;#12885;844;0;;Shounen;[];"For reasons unknown to him, Rei receives the Kyoufu Shinbun every morning, a newspaper which foresees deaths and catastrophes...  Based on Tsunoda Jirou's classic horror manga ""Kyoufu Shinbun"", serialized in Weekly Shounen Champion.  (Source: AniDB)";Horror;;;;
24;Gegege no Kitarou: Gekitotsu!! Ijigen Youkai no Daihanran;https://myanimelist.net/anime/8155/Gegege_no_Kitarou__Gekitotsu_Ijigen_Youkai_no_Daihanran;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gegege no Kitaro: Gekitotsu!! Ijigen Yokai no Daihanran;ゲゲゲの鬼太郎 激突!!異次元妖怪の大反乱;Movie;1;Finished Airing;Dec 20, 1986;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];48 min.;G - All Ages;6.21;#8311;#13020;809;0;;;[];Movie based on the 1985 TV anime with an original plot.;;;;;
25;Fire Emblem Heroes Book III Movie：Cohort of the Dead;https://myanimelist.net/anime/43565/Fire_Emblem_Heroes_Book_III_Movie%EF%BC%9ACohort_of_the_Dead;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ファイアーエムブレム ヒーローズ - ブックスリームービ: コホート-オブ-ザ-デッド;Special;1;Finished Airing;Jul 21, 2019;['Nintendo'];None found, add some;None found, add some;Game;['Action', 'Fantasy', 'Horror', 'Supernatural'];1 min.;PG-13 - Teens 13 or older;6.23;#8234;#13041;805;1;;;[];A mini movie released on the Fire Emblem Heroes website in honor of a major plot twist in Book 3.;;Strategy Game;;;
26;Nouryou Anime: Denkyuu Ika Matsuri;https://myanimelist.net/anime/30659/Nouryou_Anime__Denkyuu_Ika_Matsuri;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ikamaturi, Metempsychosis;納涼アニメ 電球烏賊祭;Movie;1;Finished Airing;1993;['None found', 'add some'];None found, add some;None found, add some;Original;['Avant Garde', 'Horror'];5 min.;PG-13 - Teens 13 or older;4.57;#13507;#13103;790;0;;;[];Death is the gateway to birth. The deceased crosses the line to join the kingdom of the dead. He sees there the dance of the sperm and the egg. He is drawn towards the sky. This is the path to the afterlife.  (Source: starandshadow.org.uk);;Psychological;;;
27;Hino Hideshi Toukaidou Yotsuya Kaidan;https://myanimelist.net/anime/17405/Hino_Hideshi_Toukaidou_Yotsuya_Kaidan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;日野日出志 東海道 四谷怪談;OVA;1;Finished Airing;Jul 20, 2000;['None found', 'add some'];None found, add some;None found, add some;Unknown;;1 hr. 10 min.;R+ - Mild Nudity;N/A;#19703;#13151;780;0;;;[];Based on Kaidan Yotsuya (Classic Japanese ghost story).;Horror;;;;
28;Inagawa Junji no Sugoku Kowai Hanashi;https://myanimelist.net/anime/36152/Inagawa_Junji_no_Sugoku_Kowai_Hanashi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Inagawa Junji's Very Scary Stories;稲川淳二のすご～く恐い話;ONA;10;Finished Airing;Sep 5, 2017 to Oct 6, 2017;['Anime Beans'];None found, add some;None found, add some;Book;['Horror', 'Supernatural'];3 min. per ep.;PG - Children;N/A;#20011;#13322;741;1;;;[];Short ghost stories by Inagawa Junji, an entertainer who is famous for his horror stories broadcasted on late night radio. He has gone on to write horror novels and directing live-action horror dramas and films. The anime is a spin-off of his Inagawa Junji no Chou: Kowai Hanashi (Inagawa Junji's Super Scary Stories) live-action direct-to-DVD series.;;;;;
29;Eko Eko Azarak;https://myanimelist.net/anime/6267/Eko_Eko_Azarak;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;エコエコアザラク;OVA;1;Finished Airing;Jan 30, 2007;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Fantasy', 'Horror'];24 min.;None;5.80;#10413;#13363;729;1;;;[];The worried owner of a luxury hotel hires high school student Kuroi Misa who has experience with necromancy. The reason is that a series of suicides carried out by guests have taken place in the garden which was once a place of execution. She agrees to use her knowledge of the black arts but demands a fee of ten million yen.;;;;;
30;Akuma-kun: Youkoso Akuma Land e!!;https://myanimelist.net/anime/8227/Akuma-kun__Youkoso_Akuma_Land_e;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Akuma-kun: Youkoso Akuma Land he!!, Akuma-kun: Yokoso Akuma Land e!!, Devil Boy: Welcome to Devil Land!!;悪魔くん ようこそ悪魔ランドへ!!;Movie;1;Finished Airing;Mar 10, 1990;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Adventure', 'Fantasy', 'Horror', 'Supernatural'];25 min.;G - All Ages;5.90;#9977;#13390;724;0;;;[];No synopsis has been added for this series yet.  Click here to update this information.;;;;;
31;Bouken Shounen Shadar;https://myanimelist.net/anime/8182/Bouken_Shounen_Shadar;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Boken Shonen Shadar;冒険少年シャダー;TV;156;Finished Airing;Sep 18, 1967 to Mar 16, 1968;['Nihon Hoso Eigasha'];None found, add some;None found, add some;Unknown;['Adventure', 'Horror'];10 min. per ep.;PG-13 - Teens 13 or older;6.13;#8786;#13482;701;1;;;[];When Earth is threatened by the invading Ghostar, a young boy with nerves of steel and the strength of 50 men appears from a cave on Mount Fuji. He is Shadar, a boy of unknown origin who, with his faithful dog, Pinboke, fights to save the world.  (Source: The Anime Encyclopedia);;;Fall 1967;Unknown;
32;Television;https://myanimelist.net/anime/8682/Television;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;テレビ;ONA;1;Finished Airing;2004;['Space Neko Company'];None found, add some;None found, add some;Original;;2 min.;PG - Children;5.29;#12354;#13513;695;0;;;[];A man with his cat finds himself in a bizarre situation involving a television. A stop motion animation from the creator of Kotatsu Neko.;Horror;;;;
33;Hachimitsu Suicide Machine;https://myanimelist.net/anime/48576/Hachimitsu_Suicide_Machine;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Anime no Tane 2021;ハチミツスーサイドマシーン;ONA;1;Finished Airing;Mar 26, 2021;['None found', 'add some'];None found, add some;Usagi Ou;Original;;10 min.;PG-13 - Teens 13 or older;5.35;#12190;#13538;690;0;;;[];Part of Anime no Tane 2021.;Horror;;;;
34;Nineko Gelée;https://myanimelist.net/anime/33914/Nineko_Gel%C3%A9e;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gelee;逃猫ジュレ;ONA;1;Finished Airing;Oct 25, 2016;['None found', 'add some'];None found, add some;DLE;Original;['Avant Garde', 'Fantasy', 'Horror'];6 min.;PG-13 - Teens 13 or older;5.11;#12805;#13615;673;1;;;[];An animation staring Gelée, an anthropomorphic cat character created by DLE.;;Music;;;
35;Je Bul Chal-ssi Iyagi;https://myanimelist.net/anime/8081/Je_Bul_Chal-ssi_Iyagi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Jeh-bool-chal-shee e-ya-gee, je bul chal ssi i ya gi;제불찰씨 이야기;Movie;1;Finished Airing;Mar 12, 2009;['Korean Academy of Film Arts'];None found, add some;None found, add some;Unknown;['Comedy', 'Fantasy', 'Horror'];1 hr. 5 min.;PG-13 - Teens 13 or older;5.69;#10922;#13665;660;0;;;[];An unprecedented media show is on air at a TV broadcasting studio. The show is asking people whether a spider that drove an assemblyman crazy should be publicly executed or not. The spider in question is Je Bul-chal(meaning 'my mistake'), a hardworking young individual who became 'an ear cleaner' because of a precious memory he holds concerning his sister. In order to take a poll about his execution, the story of how Mr. Sorry became a spider is gradually revealed.  (Source: Official website);;;;;
36;Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen;https://myanimelist.net/anime/37243/Kataribe_Jinkou_Chinou_ga_Tsubuyaku_Noroi_no_Yogen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;カタリベ　人工知能がつぶやく呪いの予言;ONA;1;Finished Airing;Feb 2, 2018;['None found', 'add some'];None found, add some;None found, add some;Manga;['Horror', 'Suspense'];1 min.;PG-13 - Teens 13 or older;4.54;#13521;#13739;642;0;;Seinen;[];An animated promotion steamed on Kadokawa's official YouTube channel for Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen, in honor of its first tankoubon volume going on sale the very same day.;;;;;
37;Oretacha Youkai Ningen G;https://myanimelist.net/anime/37559/Oretacha_Youkai_Ningen_G;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;俺たちゃ妖怪人間G;TV;26;Finished Airing;Apr 5, 2018 to Sep 27, 2018;['None found', 'add some'];None found, add some;DLE;Original;;2 min. per ep.;PG-13 - Teens 13 or older;N/A;#15383;#13899;607;1;['Mythology', 'Parody'];;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;Horror;;Spring 2018;Thursdays at 02:05 (JST);
38;Shoujo Nosferatu;https://myanimelist.net/anime/49314/Shoujo_Nosferatu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;少女ノスフェラトゥ;Movie;1;Finished Airing;2017;['Geidai Animation'];None found, add some;None found, add some;Original;['Avant Garde', 'Horror'];6 min.;G - All Ages;6.04;#9265;#13993;589;1;;;[];Graduate Work 2017 from Chinami Taniguchi, Tokyo University of the Arts, Graduate School of Film and New Media, Department of Animation.  The story of Nosferatu vampires glimpsed by a boy who gets lost in a forest.  (Source: Geidai Animation);;Psychological;;;
39;Fujiko Fujio A no Mumako;https://myanimelist.net/anime/19533/Fujiko_Fujio_A_no_Mumako;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;藤子不二雄Aの夢魔子;Special;1;Finished Airing;Jul 3, 1990;['TBS'];None found, add some;Shin-Ei Animation;Unknown;['Horror', 'Supernatural'];31 min.;PG-13 - Teens 13 or older;5.55;#11459;#14078;573;0;;;[];Based on the horror novel by Fujio (A) Fujiko.;;;;;
40;Kageyama Tamio no Double Fantasy;https://myanimelist.net/anime/41325/Kageyama_Tamio_no_Double_Fantasy;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;景山民夫のダブルファンタジー;Special;1;Finished Airing;Jan 2, 1994;['None found', 'add some'];None found, add some;Shin-Ei Animation;Original;['Comedy', 'Horror'];25 min.;PG-13 - Teens 13 or older;6.00;#9469;#14133;564;0;;;[];A 2-part TV special. The first part is a comedic bickering couple taking a sketchy plane for vacation. The second part is a horror a camera crew encounter while staying at the Hotel Southpacific after landing.;;;;;
41;Anime-ban Toukaidou Yotsuya Kaidan;https://myanimelist.net/anime/34236/Anime-ban_Toukaidou_Yotsuya_Kaidan;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;アニメ版 東海道・四谷怪談;Special;1;Finished Airing;Aug 16, 1981;['Kansai Telecasting'];None found, add some;None found, add some;Other;['Horror', 'Supernatural'];45 min.;R - 17+ (violence & profanity);N/A;#17603;#14217;551;0;;;[];An adaptation of Yotsuya Kaidan, a classic Japanese horror story about a ghost getting revenge.;;Historical;;;
