;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
10;Tenshi no Tamago;https://myanimelist.net/anime/885/Tenshi_no_Tamago;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;天使のたまご;OVA;1;Finished Airing;Dec 22, 1985;;;['Tokuma Shoten'];Anchor Bay Films;Studio Deen;Original;['Avant Garde', 'Drama', 'Fantasy'];;1 hr. 11 min.;PG-13 - Teens 13 or older;7.70;#1157;#1499;134,468;3,009;;[];The surrealist world of Tenshi no Tamago is desolate and devoid of the bustle of traditional everyday life. Instead, the world is filled with ominous phenomena, including floating orbs populated with statues of goddesses, gargantuan army tanks that seem to move unmanned, armies of fishermen who chase after the shadows of nonexistent fish, and caverns solely decorated with glass vessels of water.  In this run-down world, a young girl takes care of a large egg and scavenges for food and drink. She encounters a mysterious man with a cross over his shoulder, who soon becomes curious about who she is and what her egg contains. They decide to explore the lost and broken landscape together, questioning each other about the nature of faith, the purpose of the world, and the origins of their lives.  [Written by MAL Rewrite];;
11;FLCL Progressive;https://myanimelist.net/anime/33010/FLCL_Progressive;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;FLCL 2, Fooly Cooly Progressive, Furi Kuri Progressive;フリクリ プログレ;Movie;1;Finished Airing;Sep 28, 2018;;;['Toho Visual Entertainment'];NYAV Post;Production I.G, Signal.MD, Production GoodBook;Original;['Action', 'Avant Garde', 'Comedy', 'Sci-Fi'];['Mecha', 'Parody'];2 hr. 16 min.;PG-13 - Teens 13 or older;6.36;#7482;#1571;126,349;232;;['Crunchyroll'];Hidomi Hibajiri is a dissilusioned young girl who never takes off her headphones. Her whole life consists of going to school, helping out at her mother's cafe, and listening to music. And with nothing else to break the crippling monotony, she keeps her headphones on at all times. That is, until she is run over by a mysterious guitar-wielding woman.  That same night, a robot barges into Hidomi’s room along with a boy from her class, Ko Ide, and the kids are chased around town together. They're saved by the guitar-wielding woman from before, but now Hidomi's got a horn growing from her forehead? Who knows where these robots are coming from, what kind of vespa woman this weird guitar woman is warning her about, or what this thing on her forehead is, but it doesn't look like Hidomi is going to be able to ignore all this with headphones!  [Written by MAL Rewrite];;
12;Boogiepop wa Warawanai;https://myanimelist.net/anime/369/Boogiepop_wa_Warawanai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Boogiepop Never Laughs, Boogiepop Doesn't Laugh;ブギーポップは笑わない Boogiepop Phantom;TV;12;Finished Airing;Jan 5, 2000 to Mar 22, 2000;Winter 2000;Thursdays at 01:45 (JST);['VAP', 'Triangle Staff', 'd-rights'];Nozomi Entertainment;Madhouse;Light novel;['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural'];;24 min. per ep.;R+ - Mild Nudity;7.15;#3371;#1581;125,458;995;;['Crunchyroll', 'Funimation'];Five years ago, a string of grisly murders shook the city to its core and now the rumors have begun once more. Boogiepop... Everyone knows about Boogiepop: meet her one dark night and you are taken. People tell each other the stories and laugh: no one believes that she can possibly exist in this day and age. Still, strange things appear to be going on and the darkness is taking on many forms. Something is out there. Are you safe?  (Source: RightStuf);Psychological;
13;Yami Shibai;https://myanimelist.net/anime/19383/Yami_Shibai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Yamishibai: Japanese Ghost Stories;闇芝居;TV;13;Finished Airing;Jul 15, 2013 to Sep 30, 2013;Summer 2013;Unknown;['TV Tokyo'];Sentai Filmworks;ILCA;Original;['Avant Garde', 'Horror', 'Supernatural'];;4 min. per ep.;PG-13 - Teens 13 or older;7.01;#4062;#1847;102,230;299;;['Crunchyroll', 'HIDIVE'];The mysterious, yellow-masked Storyteller is a man whose true name and origin are both unknown. He appears at dusk where children gather and recites sinister tales based on Japanese urban legends, to which his young audience eerily intakes. However, the Storyteller is no ordinary teller of tales. He incorporates a kamishibai, a traditional paper-scrolling device, to add visuals to his already demented narration.  A series of short horror stories, Yami Shibai begins with a bachelor who, after moving into a new apartment, immediately starts sensing a malevolent glare being pressed into him. A single talisman rests on his ceiling, but he has no way of knowing it is one of the few safeguards that separate him from a bottomless pit of suffering. Each story is more terrifying, more appalling, and more sickening than the last as the Storyteller's audience find themselves being sucked into the vicious world of his words.  [Written by MAL Rewrite];;
14;Higurashi no Naku Koro ni Sotsu;https://myanimelist.net/anime/48488/Higurashi_no_Naku_Koro_ni_Sotsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;When the Cicadas Cry, The Moment the Cicadas Cry;ひぐらしのなく頃に卒;TV;15;Finished Airing;Jul 1, 2021 to Sep 30, 2021;Summer 2021;Thursdays at 23:30 (JST);['None found', 'add some'];Funimation;Passione;Visual novel;['Avant Garde', 'Horror', 'Mystery', 'Supernatural', 'Suspense'];['Gore', 'Psychological'];23 min. per ep.;R - 17+ (violence & profanity);6.74;#5316;#1863;100,798;695;;['Crunchyroll', 'Funimation', '', '', '', '', '', '', ''];Rika Furude and Satoko Houjou are best friends who have lived in the small village of Hinamizawa for their entire lives. Alongside their other friends, they spend every day together, and every moment is filled with fun and laughter. However, as Rika and Satoko begin to grow older, a life-changing opportunity presents itself to both of them. Rika is determined to follow her dreams and wants Satoko by her side.  Although Satoko is hesitant, she decides to walk this path with Rika. However, the realization of her dream forms a rift between them. This leaves the girls living in completely different worlds, with Rika enjoying her new life and making new friends while Satoko grows more and more isolated.  Longing to return to the nostalgic days in Hinamizawa, Satoko despairs and wishes things could be changed. Just when she is at wits' end, an encounter with a supernatural entity changes Satoko's perception and imparts new revelations about her best friend Rika. This begins her journey to get the future she desires—by any means necessary.  [Written by MAL Rewrite];;
15;Uzumaki;https://myanimelist.net/anime/40333/Uzumaki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;The Spiral;うずまき;TV;4;Not yet aired;2023 to ?;?;Unknown;['Production I.G'];None found, add some;Drive;Manga;['Avant Garde', 'Drama', 'Horror', 'Romance', 'Supernatural', 'Suspense'];;Unknown;None;N/A;N/A;#1954;94,242;346;Seinen;[];In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.  But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.  [Written by MAL Rewrite];Psychological;
16;FLCL Alternative;https://myanimelist.net/anime/35842/FLCL_Alternative;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;FLCL 3, Fooly Cooly Alternative, Furi Kuri Alternative;フリクリ オルタナ;Movie;1;Finished Airing;Sep 7, 2018;;;['Toho Visual Entertainment'];NYAV Post;Production I.G, Nut, Revoroot;Original;['Action', 'Avant Garde', 'Comedy', 'Sci-Fi'];['Mecha', 'Parody'];2 hr. 15 min.;PG-13 - Teens 13 or older;6.51;#6590;#1993;91,584;120;;['Crunchyroll'];"Life seems to drift by for Kana Koumoto and her friends in their small Japanese town. Every day is just like the last, and it feels like every new day will be the same. Kana goes to school, hangs out with her friends, and likes to paint her nails and listen to music, but it feels like nothing special is ever going to happen.  As a change of pace, Kana and her friends decide to design a bottle rocket and launch it into space, even though it might not get there at all. However, just when the rocket is completed, a robot suddenly crashes into and destroys it, shortly followed by a pink-haired woman claiming to be a ""Galactic Investigator."" Kana's life quickly becomes more exciting than she ever imagined, dealing with new feelings, changing friends, and even boy troubles. It turns out life can go by in the blink of an eye, fast enough to even miss it, so what's with these weird robots that seem to show up at the worst times?!  [Written by MAL Rewrite]";;
17;Mind Game;https://myanimelist.net/anime/875/Mind_Game;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Mindgame;マインド・ゲーム;Movie;1;Finished Airing;Aug 7, 2004;;;['Beyond C.'];GKIDS;Studio 4°C;Manga;['Adventure', 'Avant Garde', 'Award Winning', 'Comedy', 'Romance'];['Adult Cast', 'Psychological'];1 hr. 43 min.;R - 17+ (violence & profanity);7.78;#960;#2160;80,057;1,014;;[];After seeing her jump onto a subway at the last second and getting her ankle crushed between the doors, Nishi reconnects with his high school sweetheart, Myon. Nishi is still very much in love with Myon, but is shocked to learn that she is engaged to another man. Nishi agrees to meet Myon's fiancé at her family's Yakitori restaurant, but members of the Yakuza storm the joint and murder Nishi when he tries to stop them from raping Myon.  Nishi, now dead, wakes up and meets a constantly shapeshifting god, who mocks him for dying. The god tells Nishi to walk into a portal and disappear from existence, which Nishi rejects, choosing instead to sprint past the god and reanimate. With a new outlook on life and knowledge of how the Yakuza are going to attack him, Nishi kills one of the Yakuza with his own gun, fleeing in a stolen car with Myon and her sister.  Acclaimed director Masaaki Yuasa's debut film, Mind Game's constantly shifting visuals tell a story about living one's life without regrets that is unlike any other.  [Written by MAL Rewrite];;
18;Nekojiru-sou;https://myanimelist.net/anime/601/Nekojiru-sou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ねこぢる草;OVA;1;Finished Airing;Feb 21, 2001;;;['Starchild Records', 'King Records'];Central Park Media;J.C.Staff;Manga;['Avant Garde', 'Award Winning', 'Comedy'];['Anthropomorphic', 'Psychological'];32 min.;PG-13 - Teens 13 or older;7.32;#2462;#2260;74,626;893;;[];The main character, a cat named Nyatto, embarks upon a journey to save his sister's soul, which was ripped in two when Nyatto tried to save her from Death. She trails after him, brain-dead. They encounter many brilliant, mind-bending situations, beginning with a disturbing magic show.  (Source: ANN);;
19;Shoujo Kakumei Utena: Adolescence Mokushiroku;https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Revolutionary Girl Utena: Adolescence Apocalypse;少女革命ウテナ　アドゥレセンス黙示録;Movie;1;Finished Airing;Aug 14, 1999;;;['Audio Tanaka'];Nozomi Entertainment, Central Park Media;J.C.Staff;Original;['Avant Garde', 'Drama', 'Fantasy', 'Girls Love', 'Romance'];;1 hr. 30 min.;R+ - Mild Nudity;7.63;#1304;#2869;48,939;582;;['Funimation'];All eyes are on Utena Tenjou, a mysterious transfer student to Ohtori Academy. But Utena's eyes seem to be fixed on one familiar face that stands out among the rest—Touga Kiryuu, Utena's childhood friend. Touga knows of Utena's past and possesses knowledge of the Mark of the Rose, a set of unique rings worn by those who compete for the hand of the Rose Bride. The Rose Bride, Himemiya Anthy, belongs to whomever wins her in a duel, and the one that wins all the duels is said to be given the power to bring revolution to the world. Utena is drawn into the duels, but Touga and their complicated history together may end up unraveling everything. Nothing is as it seems in this retelling of the original anime series.  [Written by MAL Rewrite];Mahou Shoujo;
20;Yami Shibai 2;https://myanimelist.net/anime/22537/Yami_Shibai_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Yamishibai: Japanese Ghost Stories Second Season, Theater of Darkness 2nd Season;闇芝居 2期;TV;13;Finished Airing;Jul 7, 2014 to Sep 29, 2014;Summer 2014;Unknown;['TV Tokyo'];Sentai Filmworks;ILCA;Original;['Avant Garde', 'Horror', 'Supernatural'];;4 min. per ep.;PG-13 - Teens 13 or older;6.50;#6683;#2933;46,878;30;;['Crunchyroll', 'HIDIVE'];For the second time, the masked storyteller returns to tell children tales and legends of horror and woe, such as the tale of a ventriloquist's dummy, a locker that grants wishes, a capsule toy machine that returns lost possessions, and a strange food called Ominie-san.  Building on the foundation that was laid by the first, Yami Shibai 2 is a collection of Japanese scary stories of the unknown and the occult that are truly terrifying, narrated in a style of art that mimics kamishibai storytelling.  [Written by MAL Rewrite];;
21;Kanashimi no Belladonna;https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Tragedy of Belladonna;哀しみのベラドンナ;Movie;1;Finished Airing;Jun 30, 1973;;;['None found', 'add some'];Cinelicious Pics;Mushi Production;Book;['Avant Garde', 'Drama'];;1 hr. 27 min.;R+ - Mild Nudity;7.15;#3385;#3085;42,659;633;;[];The beautiful Jeanne marries a man named Jean, and the happy newlyweds make their way to the Lord's castle with a cow's worth of money for his blessings. However, the demonic Lord is unmoved by their offering, ignoring their desperate, impoverished pleas. The Lord's wife offers an alternative: Jeanne must become the Lord's conquest for the night in a ritual deflowering.  Scarred by the experience, the shaken Jeanne receives no sympathy from her husband. Instead, she is neglected. But as Jeanne drifts off to sleep, she is met by a strange spirit that encourages her to deliver retribution to those who wronged her. And with a mysterious surge of pleasure and an unquenching libido, Jeanne agrees.  Kanashimi no Belladonna is a captivating, psychosexual adventure that tells a story of cunning witchcraft and deceitful superstition in a poor, rural village of medieval France.  [Written by MAL Rewrite];Historical;
22;Puparia;https://myanimelist.net/anime/44059/Puparia;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;PUPARIA;ONA;1;Finished Airing;Nov 20, 2020;;;['None found', 'add some'];None found, add some;None found, add some;Original;;;3 min.;PG-13 - Teens 13 or older;7.63;#1298;#3116;42,113;276;;[];Independent short animation by Shingo Tamagawa.;;Avant Garde
23;Nihon Animator Mihonichi;https://myanimelist.net/anime/28149/Nihon_Animator_Mihonichi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Japan Animator Expo, The Dragon Dentist, Hill Climb Girl, Me!Me!Me!, Carnage, Nishi-Ogikubo, Until You Come to Me, Tomorrow From There;日本アニメ（ーター）見本市;ONA;35;Finished Airing;Nov 7, 2014 to Oct 9, 2015;;;['Dwango'];None found, add some;Sunrise, Khara, Studio Rikka, Bridge, Kamikaze Douga, Trigger, Graphinica, Studio Colorido, Sola Digital Arts, Steve N' Steven;Original;['Action', 'Avant Garde', 'Fantasy', 'Sci-Fi', 'Supernatural', 'Ecchi'];['Mecha', 'Military', 'Music', 'School', 'Space'];8 min. per ep.;R+ - Mild Nudity;7.33;#2400;#3237;39,290;126;;[];Nihon Animator Mihonichi is a collaborative series of standalone anime shorts with the support of various directors and studios. Aiming to expose new animators to a worldwide audience, these small works offer a glimpse into the future of the industry, featuring rising talents, cutting-edge techniques, and experimental aesthetic designs.  [Written by MAL Rewrite];;
24;Panty & Stocking in Sanitarybox;https://myanimelist.net/anime/10739/Panty___Stocking_in_Sanitarybox;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Panty & Stocking with Garterbelt Special, Panty and Stocking with Garterbelt In Sanitary Box;Panty & Stocking in Sanitarybox;Special;1;Finished Airing;Apr 28, 2011;;;['None found', 'add some'];Funimation;Gainax;Original;['Action', 'Avant Garde', 'Comedy', 'Supernatural', 'Ecchi'];;8 min.;R - 17+ (violence & profanity);6.38;#7337;#3283;38,072;57;;[];A special short included with the 5th DVD/BD release.;Parody;
