;title;link;preliminary
71;Tokyo Revengers;https://myanimelist.net/anime/42249/Tokyo_Revengers;off
3;Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou;off
40;Mushoku Tensei: Isekai Ittara Honki Dasu;https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu;off
25;Nisekoi;https://myanimelist.net/anime/18897/Nisekoi;off
41;Kyoukai no Kanata;https://myanimelist.net/anime/18153/Kyoukai_no_Kanata;off
42;Tokyo Ghoul:re;https://myanimelist.net/anime/36511/Tokyo_Ghoul_re;off
10;Zankyou no Terror;https://myanimelist.net/anime/23283/Zankyou_no_Terror;off
74;Shingeki no Kyojin: The Final Season Part 2;https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2;off
6;Shokugeki no Souma: Ni no Sara;https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara;off
43;Log Horizon;https://myanimelist.net/anime/17265/Log_Horizon;off
26;Ouran Koukou Host Club;https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club;off
77;Boku no Hero Academia 5th Season;https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season;off
44;Nanatsu no Taizai: Imashime no Fukkatsu;https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu;off
1;Devilman: Crybaby;https://myanimelist.net/anime/35120/Devilman__Crybaby;off
45;Fate/Zero 2nd Season;https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season;off
31;JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai;off
46;Goblin Slayer;https://myanimelist.net/anime/37349/Goblin_Slayer;off
33;JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season;https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season;off
27;Tonari no Kaibutsu-kun;https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun;off
47;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season;https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season;off
28;Saiki Kusuo no Ψ-nan;https://myanimelist.net/anime/33255/Saiki_Kusuo_no_%CE%A8-nan;off
48;Fate/stay night: Unlimited Blade Works;https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works;off
14;Gintama;https://myanimelist.net/anime/918/Gintama;off
15;Mahouka Koukou no Rettousei;https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei;off
30;K-On!;https://myanimelist.net/anime/5680/K-On;off
31;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku;https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku;off
49;Magi: The Labyrinth of Magic;https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic;off
16;Tonari no Totoro;https://myanimelist.net/anime/523/Tonari_no_Totoro;off
11;Monster;https://myanimelist.net/anime/19/Monster;off
16;Date A Live;https://myanimelist.net/anime/15583/Date_A_Live;off
33;Golden Time;https://myanimelist.net/anime/17895/Golden_Time;off
50;Sword Art Online: Alicization;https://myanimelist.net/anime/36474/Sword_Art_Online__Alicization;off
